,name,stop_id,line,no,lng,lat,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
0,EUNOS MRT STATION,EW7,EW,49,103.9032525,1.319778952,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
1,CHINESE GARDEN MRT STATION,EW25,EW,33,103.7325967,1.342352821,4,LAKESIDE (LEISURE),JESZ04,JURONG EAST,JE,WEST REGION,WR
2,KHATIB MRT STATION,NS14,NS,75,103.8329799,1.41738337,8,KHATIB,YSSZ08,YISHUN,YS,NORTH REGION,NR
3,KRANJI MRT STATION,NS7,NS,78,103.7621654,1.425177699,2,TURF CLUB,SKSZ02,SUNGEI KADUT,SK,NORTH REGION,NR
4,REDHILL MRT STATION,EW18,EW,117,103.8168167,1.289562726,3,REDHILL,BMSZ03,BUKIT MERAH,BM,CENTRAL REGION,CR
5,YEW TEE MRT STATION,NS5,NS,163,103.7474051,1.397535018,6,YEW TEE,CKSZ06,CHOA CHU KANG,CK,WEST REGION,WR
6,PIONEER MRT STATION,EW28,EW,108,103.6973215,1.337586882,9,JURONG WEST CENTRAL,JWSZ09,JURONG WEST,JW,WEST REGION,WR
7,COMMONWEALTH MRT STATION,EW20,EW,39,103.7983045,1.302438735,3,COMMONWEALTH,QTSZ03,QUEENSTOWN,QT,CENTRAL REGION,CR
8,PAYA LEBAR MRT STATION,EW8,EW,104,103.8930604,1.318112082,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
9,SIMEI MRT STATION,EW3,EW,130,103.9533717,1.343202895,4,SIMEI,TMSZ04,TAMPINES,TM,EAST REGION,ER
10,TAMPINES MRT STATION,EW2,EW,140,103.9451487,1.353301356,2,TAMPINES EAST,TMSZ02,TAMPINES,TM,EAST REGION,ER
11,ADMIRALTY MRT STATION,NS10,NS,0,103.800988,1.440585001,3,WOODLANDS EAST,WDSZ03,WOODLANDS,WD,NORTH REGION,NR
12,YISHUN MRT STATION,NS13,NS,165,103.835005,1.429443081,9,YISHUN WEST,YSSZ09,YISHUN,YS,NORTH REGION,NR
13,PASIR RIS MRT STATION,EW1,EW,103,103.9492681,1.372983774,3,PASIR RIS CENTRAL,PRSZ03,PASIR RIS,PR,EAST REGION,ER
14,CLEMENTI MRT STATION,EW23,EW,38,103.7652989,1.314954492,4,CLEMENTI NORTH,CLSZ04,CLEMENTI,CL,WEST REGION,WR
15,ALJUNIED MRT STATION,EW9,EW,1,103.882906,1.316432612,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
16,ANG MO KIO MRT STATION,NS16,NS,2,103.849933,1.369347304,2,CHENG SAN,AMSZ02,ANG MO KIO,AM,NORTH-EAST REGION,NER
17,EXPO MRT STATION,CG1,CG,50,103.9615482,1.334549778,5,XILIN,TMSZ05,TAMPINES,TM,EAST REGION,ER
18,CHOA CHU KANG MRT STATION,NS4,NS,35,103.7443409,1.385361693,3,CHOA CHU KANG CENTRAL,CKSZ03,CHOA CHU KANG,CK,WEST REGION,WR
19,QUEENSTOWN MRT STATION,EW19,EW,114,103.8058843,1.294860933,6,MEI CHIN,QTSZ06,QUEENSTOWN,QT,CENTRAL REGION,CR
20,TUAS LINK MRT STATION,EW33,EW,155,103.6368787,1.340463766,2,TUAS PROMENADE,TSSZ02,TUAS,TS,WEST REGION,WR
21,GUL CIRCLE MRT STATION,EW30,EW,58,103.660553,1.319505215,2,GUL CIRCLE,PNSZ02,PIONEER,PN,WEST REGION,WR
22,WOODLANDS MRT STATION,NS9,NS,159,103.7864851,1.436875128,1,WOODLANDS REGIONAL CENTRE,WDSZ01,WOODLANDS,WD,NORTH REGION,NR
23,TUAS CRESCENT MRT STATION,EW31,EW,154,103.6490755,1.321026553,3,TUAS NORTH,TSSZ03,TUAS,TS,WEST REGION,WR
24,KALLANG MRT STATION,EW10,EW,70,103.8713865,1.31148891,3,BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
25,TUAS WEST ROAD MRT STATION,EW32,EW,156,103.6396141,1.329989089,4,TUAS BAY,TSSZ04,TUAS,TS,WEST REGION,WR
26,BUONA VISTA MRT STATION,EW21,EW,26,103.7901915,1.307183467,8,ONE NORTH,QTSZ08,QUEENSTOWN,QT,CENTRAL REGION,CR
27,DOVER MRT STATION,EW22,EW,46,103.7786378,1.311405293,9,SINGAPORE POLYTECHNIC,QTSZ09,QUEENSTOWN,QT,CENTRAL REGION,CR
28,SEMBAWANG MRT STATION,NS11,NS,125,103.8200461,1.449050821,3,SEMBAWANG CENTRAL,SBSZ03,SEMBAWANG,SB,NORTH REGION,NR
29,KEMBANGAN MRT STATION,EW6,EW,73,103.9129494,1.321038249,3,KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
30,BUKIT BATOK MRT STATION,NS2,NS,21,103.7495668,1.349034109,7,BUKIT BATOK CENTRAL,BKSZ07,BUKIT BATOK,BK,WEST REGION,WR
31,BOON LAY MRT STATION,EW27,EW,15,103.7060646,1.338604055,9,JURONG WEST CENTRAL,JWSZ09,JURONG WEST,JW,WEST REGION,WR
32,BUKIT GOMBAK MRT STATION,NS3,NS,23,103.7518935,1.358761857,4,GUILIN,BKSZ04,BUKIT BATOK,BK,WEST REGION,WR
33,MARSILING MRT STATION,NS8,NS,89,103.7740715,1.432514421,6,WOODLANDS WEST,WDSZ06,WOODLANDS,WD,NORTH REGION,NR
34,BEDOK MRT STATION,EW5,EW,8,103.9299845,1.323979969,4,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
35,JOO KOON MRT STATION,EW29,EW,66,103.6783751,1.327717173,1,JOO KOON,PNSZ01,PIONEER,PN,WEST REGION,WR
36,LAKESIDE MRT STATION,EW26,EW,81,103.7209493,1.344259249,4,TAMAN JURONG,JWSZ04,JURONG WEST,JW,WEST REGION,WR
37,TANAH MERAH MRT STATION,EW4,EW,143,103.9463465,1.327187135,6,BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
38,YIO CHU KANG MRT STATION,NS15,NS,164,103.8449473,1.381756046,10,YIO CHU KANG,AMSZ10,ANG MO KIO,AM,NORTH-EAST REGION,NER
39,OASIS LRT STATION,PE6,PE,98,103.9127274,1.402286677,5,WATERWAY EAST,PGSZ05,PUNGGOL,PG,NORTH-EAST REGION,NER
40,SAM KEE LRT STATION,PW1,PW,122,103.9048316,1.409612685,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
41,FARMWAY LRT STATION,SW2,SW,52,103.8893048,1.397170196,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
42,KUPANG LRT STATION,SW3,SW,79,103.8812562,1.398212828,6,FERNVALE,SESZ06,SENGKANG,SE,NORTH-EAST REGION,NER
43,RENJONG LRT STATION,SW8,SW,118,103.8905394,1.386723922,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
44,BUKIT PANJANG LRT STATION,BP6,BP,24,103.7630136,1.377909898,5,JELEBU,BPSZ05,BUKIT PANJANG,BP,WEST REGION,WR
45,FAJAR LRT STATION,BP10,BP,51,103.7708086,1.384520796,3,FAJAR,BPSZ03,BUKIT PANJANG,BP,WEST REGION,WR
46,SAMUDERA LRT STATION,PW4,PW,123,103.9021563,1.415901719,1,NORTHSHORE,PGSZ01,PUNGGOL,PG,NORTH-EAST REGION,NER
47,NIBONG LRT STATION,PW5,PW,95,103.9003138,1.411870458,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
48,SOO TECK LRT STATION,PW7,PW,133,103.8972097,1.405088585,3,MATILDA,PGSZ03,PUNGGOL,PG,NORTH-EAST REGION,NER
49,KADALOOR LRT STATION,PE5,PE,68,103.9164867,1.399584853,5,WATERWAY EAST,PGSZ05,PUNGGOL,PG,NORTH-EAST REGION,NER
50,CORAL EDGE LRT STATION,PE3,PE,41,103.9125809,1.393909226,4,PUNGGOL FIELD,PGSZ04,PUNGGOL,PG,NORTH-EAST REGION,NER
51,THANGGAM LRT STATION,SW4,SW,150,103.8756352,1.397318155,6,FERNVALE,SESZ06,SENGKANG,SE,NORTH-EAST REGION,NER
52,KEAT HONG LRT STATION,BP3,BP,72,103.7490555,1.378602766,1,TECK WHYE,CKSZ01,CHOA CHU KANG,CK,WEST REGION,WR
53,DAMAI LRT STATION,PE7,PE,44,103.9086035,1.405234836,5,WATERWAY EAST,PGSZ05,PUNGGOL,PG,NORTH-EAST REGION,NER
54,COVE LRT STATION,PE1,PE,42,103.9059619,1.399281985,4,PUNGGOL FIELD,PGSZ04,PUNGGOL,PG,NORTH-EAST REGION,NER
55,RIVIERA LRT STATION,PE4,PE,119,103.9161661,1.394524496,4,PUNGGOL FIELD,PGSZ04,PUNGGOL,PG,NORTH-EAST REGION,NER
56,SENJA LRT STATION,BP13,BP,128,103.7623672,1.382692296,1,SENJA,BPSZ01,BUKIT PANJANG,BP,WEST REGION,WR
57,JELAPANG LRT STATION,BP12,BP,65,103.7645033,1.386703025,2,SAUJANA,BPSZ02,BUKIT PANJANG,BP,WEST REGION,WR
58,PETIR LRT STATION,BP7,BP,106,103.766669,1.377750334,5,JELEBU,BPSZ05,BUKIT PANJANG,BP,WEST REGION,WR
59,TECK WHYE LRT STATION,BP4,BP,146,103.7537122,1.376684679,1,TECK WHYE,CKSZ01,CHOA CHU KANG,CK,WEST REGION,WR
60,CHOA CHU KANG LRT STATION,BP1,BP,34,103.7445537,1.38483636,3,CHOA CHU KANG CENTRAL,CKSZ03,CHOA CHU KANG,CK,WEST REGION,WR
61,SOUTH VIEW LRT STATION,BP2,BP,134,103.7452918,1.380298287,3,CHOA CHU KANG CENTRAL,CKSZ03,CHOA CHU KANG,CK,WEST REGION,WR
62,LAYAR LRT STATION,SW6,SW,83,103.8800296,1.392079839,6,FERNVALE,SESZ06,SENGKANG,SE,NORTH-EAST REGION,NER
63,KANGKAR LRT STATION,SE4,SE,71,103.902174,1.383978902,2,RIVERVALE,SESZ02,SENGKANG,SE,NORTH-EAST REGION,NER
64,MERIDIAN LRT STATION,PE2,PE,92,103.9089502,1.396912053,4,PUNGGOL FIELD,PGSZ04,PUNGGOL,PG,NORTH-EAST REGION,NER
65,CHENG LIM LRT STATION,SW1,SW,31,103.8937972,1.396277631,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
66,PUNGGOL POINT LRT STATION,PW3,PW,113,103.9066508,1.41684852,1,NORTHSHORE,PGSZ01,PUNGGOL,PG,NORTH-EAST REGION,NER
67,SUMANG LRT STATION,PW6,PW,137,103.8985585,1.408452426,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
68,FERNVALE LRT STATION,SW5,SW,55,103.8763086,1.391885888,6,FERNVALE,SESZ06,SENGKANG,SE,NORTH-EAST REGION,NER
69,TONGKANG LRT STATION,SW7,SW,153,103.8858441,1.389347953,5,COMPASSVALE,SESZ05,SENGKANG,SE,NORTH-EAST REGION,NER
70,PENDING LRT STATION,BP8,BP,105,103.7712702,1.376142883,4,BANGKIT,BPSZ04,BUKIT PANJANG,BP,WEST REGION,WR
71,TECK LEE LRT STATION,PW2,PW,145,103.9065776,1.412770894,1,NORTHSHORE,PGSZ01,PUNGGOL,PG,NORTH-EAST REGION,NER
72,BANGKIT LRT STATION,BP9,BP,4,103.7726491,1.380017897,4,BANGKIT,BPSZ04,BUKIT PANJANG,BP,WEST REGION,WR
73,BAKAU LRT STATION,SE3,SE,3,103.9054391,1.388092704,2,RIVERVALE,SESZ02,SENGKANG,SE,NORTH-EAST REGION,NER
74,RUMBIA LRT STATION,SE2,SE,121,103.9059736,1.391468497,2,RIVERVALE,SESZ02,SENGKANG,SE,NORTH-EAST REGION,NER
75,COMPASSVALE LRT STATION,SE1,SE,40,103.9004925,1.394493046,3,SENGKANG TOWN CENTRE,SESZ03,SENGKANG,SE,NORTH-EAST REGION,NER
76,TEN MILE JUNCTION LRT STATION,BP14,BP,149,103.7601398,1.380321008,1,TECK WHYE,CKSZ01,CHOA CHU KANG,CK,WEST REGION,WR
